,postcode,area,country,country_code,region,district,district_code,lat,long
128,S101NS,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3874,-1.5027
129,S101NT,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3871,-1.504
130,S101NU,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3872,-1.5037
131,S101NW,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3886,-1.5014
132,S101NX,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3888,-1.5017
133,S101NY,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3879,-1.5041
134,S101NZ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3882,-1.5039
135,S101PA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3888,-1.5039
136,S101PB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3891,-1.5039
137,S101PD,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3898,-1.5036
138,S101PE,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3887,-1.4996
139,S101PF,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3893,-1.5003
140,S101PG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3894,-1.5014
141,S101PH,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3903,-1.5029
142,S101PJ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3903,-1.5021
143,S101PZ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3905,-1.5046
144,S101QA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3912,-1.5039
145,S101QB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3917,-1.5041
146,S101QD,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3931,-1.5044
147,S101QE,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3936,-1.5039
148,S101QF,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3927,-1.5061
149,S101QG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3929,-1.505
150,S101QH,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3915,-1.5064
151,S101QJ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.391,-1.5051
152,S101QL,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3903,-1.5053
153,S101QN,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.389,-1.5076
154,S101QP,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3897,-1.5045
155,S101QQ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3877,-1.5067
156,S101QR,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3899,-1.5058
157,S101QS,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3892,-1.5059
158,S101QU,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3876,-1.5071
159,S101QW,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3885,-1.5084
160,S101QX,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3885,-1.5079
161,S101QY,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.388,-1.5084
162,S101QZ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3882,-1.5084
163,S101RA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3876,-1.5085
164,S101RB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3878,-1.5086
165,S101RD,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3871,-1.5087
166,S101RE,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3874,-1.5087
167,S101SA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3868,-1.5097
168,S101SB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3869,-1.5087
169,S101SD,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3867,-1.5121
170,S101SE,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3874,-1.5125
171,S101SF,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3866,-1.5145
172,S101SG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3866,-1.515
173,S101SH,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.387,-1.5131
174,S101SJ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3865,-1.5091
175,S101SL,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3864,-1.5114
176,S101SN,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.386,-1.5097
177,S101SP,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3861,-1.5123
178,S101SQ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3853,-1.5119
179,S101SR,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3856,-1.5099
180,S101SS,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3855,-1.5128
181,S101ST,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3847,-1.5142
